course_link,course_name,course_duration_hours,rating,difficulty_level,num_modules,num_enrolled_students
https://www.dicoding.com/academies/428,Belajar Implementasi CI/CD,30 Jam,4.93,Menengah,64,559
https://www.dicoding.com/academies/423,Menjadi Linux System Administrator,25 Jam,4.92,Menengah,64,607
https://www.dicoding.com/academies/413,Belajar Fundamental Aplikasi Web dengan React,55 Jam,4.93,Menengah,66,888
https://www.dicoding.com/academies/403,Belajar Membuat Aplikasi Web dengan React,35 Jam,4.91,Pemula,56,8180
https://www.dicoding.com/academies/387,Belajar Jaringan Komputer untuk Pemula,25 Jam,4.9,Pemula,62,20703
https://www.dicoding.com/academies/382,Belajar Dasar-Dasar DevOps,15 Jam,4.87,Dasar,38,21163
https://www.dicoding.com/academies/352,Belajar Pengembangan Aplikasi Android Intermediate,100 Jam,4.78,Mahir,115,2472
https://www.dicoding.com/academies/342,Belajar Membuat Aplikasi Back-End untuk Pemula dengan Google Cloud,45 Jam,4.85,Pemula,108,2395
https://www.dicoding.com/academies/337,Belajar Dasar Google Cloud,12 Jam,4.87,Dasar,78,3567
https://www.dicoding.com/academies/335,Belajar Dasar UX Design,23 Jam,4.9,Dasar-Pemula,94,3918
https://www.dicoding.com/academies/332,Menjadi Google Cloud Architect,35 Jam,4.89,Menengah,79,1083
https://www.dicoding.com/academies/510,Belajar Membuat Aplikasi Back-End untuk Pemula dengan Cloudeka,45 Jam,4.9,Pemula,108,324
https://www.dicoding.com/academies/445,Belajar Membuat Aplikasi Android dengan Jetpack Compose,50 Jam,4.85,Mahir,80,484
https://www.dicoding.com/academies/443,Machine Learning Operations (MLOps),45 Jam,4.5,Mahir,72,153
https://www.dicoding.com/academies/433,Belajar Membangun Arsitektur Microservices,40 Jam,4.93,Mahir,66,141
https://www.dicoding.com/academies/418,Menjadi React Web Developer Expert,70 Jam,4.82,Mahir,103,254
https://www.dicoding.com/academies/292,Meniti Karier sebagai Software Developer,7 Jam,4.9,Dasar,53,14009
https://www.dicoding.com/academies/302,Pengenalan ke Logika Pemrograman (Programming Logic 101),6 Jam,4.92,Dasar,37,11335
https://www.dicoding.com/academies/297,Pengenalan Data pada Pemrograman (Data 101),6 Jam,4.91,Dasar,39,6361
https://www.dicoding.com/academies/317,Belajar Dasar Git dengan GitHub,15 Jam,4.89,Dasar,78,9495
https://www.dicoding.com/academies/120,Memulai Pemrograman Dengan C,15 Jam,4.84,Dasar,48,42446
https://www.dicoding.com/academies/177,Belajar Dasar Visualisasi Data,16 Jam,4.85,Dasar,50,43743
https://www.dicoding.com/academies/86,Memulai Pemrograman Dengan Python,20 Jam,4.76,Dasar,45,52980
https://www.dicoding.com/academies/184,Belajar Machine Learning untuk Pemula,30 Jam,4.82,Pemula,56,34251
https://www.dicoding.com/academies/185,Belajar Pengembangan Machine Learning,40 Jam,4.83,Menengah,70,5776
https://www.dicoding.com/academies/319,Machine Learning Terapan,40 Jam,4.87,Mahir,109,1845
https://www.dicoding.com/academies/312,Simulasi Ujian TensorFlow Developer Certificate,25 Jam,0,Menengah,6,2402
https://www.dicoding.com/academies/60,Memulai Pemrograman Dengan Java,15 Jam,4.86,Dasar,42,69958
https://www.dicoding.com/academies/80,Memulai Pemrograman Dengan Kotlin,50 Jam,4.84,Dasar-Pemula,118,43289
https://www.dicoding.com/academies/169,Belajar Prinsip Pemrograman SOLID,15 Jam,4.87,Menengah,41,32512
https://www.dicoding.com/academies/51,Belajar Membuat Aplikasi Android untuk Pemula,40 Jam,4.88,Pemula,32,102402
https://www.dicoding.com/academies/14,Belajar Fundamental Aplikasi Android,150 Jam,4.87,Menengah,112,37128
https://www.dicoding.com/academies/165,Menjadi Android Developer Expert,90 Jam,4.81,Profesional,87,3504
https://www.dicoding.com/academies/287,Simulasi Ujian Associate Android Developer,40 Jam,0,Mahir,15,1628
https://www.dicoding.com/academies/145,Memulai Pemrograman Dengan Swift,40 Jam,4.84,Dasar,95,7181
https://www.dicoding.com/academies/171,Belajar Membuat Aplikasi iOS untuk Pemula,40 Jam,4.83,Pemula,74,2990
https://www.dicoding.com/academies/202,Belajar Fundamental Aplikasi iOS,70 Jam,4.82,Menengah,127,1003
https://www.dicoding.com/academies/209,Menjadi iOS Developer Expert,70 Jam,4.89,Mahir-Profesional,135,641
https://www.dicoding.com/academies/123,Belajar Dasar Pemrograman Web,55 Jam,4.86,Dasar-Pemula,143,119632
https://www.dicoding.com/academies/315,Belajar Membuat Front-End Web untuk Pemula,46 Jam,4.87,Pemula,86,46758
https://www.dicoding.com/academies/163,Belajar Fundamental Front-End Web Development,70 Jam,4.87,Pemula-Menengah,143,24625
https://www.dicoding.com/academies/219,Menjadi Front-End Web Developer Expert,90 Jam,4.88,Mahir-Profesional,191,5402
https://www.dicoding.com/academies/251,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),13 Jam,4.79,Dasar,87,125744
https://www.dicoding.com/academies/256,Belajar Dasar Pemrograman JavaScript,45 Jam,4.85,Dasar,117,64030
https://www.dicoding.com/academies/261,Belajar Membuat Aplikasi Back-End untuk Pemula,45 Jam,4.89,Pemula,102,43717
https://www.dicoding.com/academies/266,Architecting on AWS (Membangun Arsitektur Cloud di AWS),40 Jam,4.83,Pemula-Menengah,170,11379
https://www.dicoding.com/academies/271,Belajar Fundamental Aplikasi Back-End,90 Jam,4.91,Menengah,182,3582
https://www.dicoding.com/academies/276,Menjadi Back-End Developer Expert,76 Jam,4.92,Mahir-Profesional,99,1532
https://www.dicoding.com/academies/133,Menjadi Google Cloud Engineer,40 Jam,4.89,Menengah,88,3698
https://www.dicoding.com/academies/281,Simulasi Ujian Associate Cloud Engineer,25 Jam,0,Menengah,5,2744
https://www.dicoding.com/academies/144,Belajar Dasar-Dasar Azure Cloud,40 Jam,4.88,Dasar,94,6421
https://www.dicoding.com/academies/83,Menjadi Azure Cloud Developer,40 Jam,4.91,Pemula-Menengah,85,3673
https://www.dicoding.com/academies/191,Memulai Pemrograman Dengan Dart,20 Jam,4.84,Dasar,81,15686
https://www.dicoding.com/academies/159,Belajar Membuat Aplikasi Flutter untuk Pemula,40 Jam,4.88,Pemula,51,12782
https://www.dicoding.com/academies/195,Belajar Fundamental Aplikasi Flutter,70 Jam,4.81,Menengah,107,2916
https://www.dicoding.com/academies/199,Menjadi Flutter Developer Expert,85 Jam,4.85,Mahir-Profesional,93,1297
https://www.dicoding.com/academies/313,Belajar Membuat Augmented Reality dengan Lens Studio,20 Jam,4.87,Pemula,56,13618
https://www.dicoding.com/academies/237,Memulai Dasar Pemrograman untuk Menjadi Pengembang Software,10 Jam,4.88,Dasar,74,9105
https://www.dicoding.com/academies/153,Belajar Membangun LINE Front-end Framework (LIFF),15 Jam,4.94,Pemula,28,5828
https://www.dicoding.com/academies/32,Belajar Membangun LINE Chatbot,20 Jam,4.88,Pemula,26,15292
https://www.dicoding.com/academies/505,Simulasi Ujian Pendidik Level 1 (Google Certified Educator Level 1 - Indonesian),19 Jam,0,Pemula,9,575
